notif-error-annotation-validation,Failed to validate the annotation,Une erreur a empêché de valider l'annotation,Error al validar la anotación,Door een fout kon de annotatie niet worden gevalideerd,アノテーションの検証に失敗しました
notif-error-attached-file-creation,Failed to attach the selected file,Une erreur a empêché l'upload du fichier joint,Error al adjuntar el archivo seleccionado,Een fout verhinderde het uploaden van het bijgevoegde file,選択したファイルの添付に失敗しました
notif-error-attached-file-deletion,Failed to delete attached file {filename},Une erreur a empêché la suppression du fichier joint {filename},Error al eliminar el archivo adjunto {filename},Een fout verhinderde het verwijderen van het bijgevoegde file {filename},添付ファイル {filename} の削除に失敗しました
notif-error-cancel-review,Failed to cancel the review of the image,Une erreur a empêché d'annuler la validation de l'image,No se pudo cancelar la revisión de la imagen.,Een fout verhinderde het ongedaan maken van de afbeeldingsreview,画像のレビューのキャンセルに失敗しました
notif-error-change-role,Failed to change the role of {username},Une erreur a empêché de changer le rôle de l'utilisateur {username},No se pudo cambiar el rol de {username},Een fout verhinderde het wijzigen van de rol van de user {username},{username} のロール変更に失敗しました
notif-error-change-status-image-filter-project,Failed to change the status of filter {filterName},Une erreur a empêché de changer le statut du filtre {filterName},Error al cambiar el estado del filtro {filterName},Een fout verhinderde het wijzigen van de status van filter {filterName},フィルター {filterName} のステータス変更に失敗しました
notif-error-custom-ui-change,Failed to change custom UI property,Une erreur a empêché de mettre à jour les choix de personnalisation de l'interface,Error al cambiar la propiedad de interfaz personalizada,Een fout verhinderde het bijwerken van keuzes voor het aanpassen van de interface,カスタム UI プロパティの変更に失敗しました
notif-error-default-layer-add,Failed to add a default layer,Une erreur a empêché d'ajouter le calque aux calques par défaut,Error al agregar una capa predeterminada,Een fout verhinderde het toevoegen van de laag aan de defaultlagen,デフォルトレイヤーの追加に失敗しました
notif-error-default-layer-delete,Failed to delete default layer,Une erreur a empêché de supprimer le calque par défaut,Error al eliminar la capa predeterminada,Een fout verhinderde het verwijderen van de defaultlaag,デフォルトレイヤーの削除に失敗しました
notif-error-default-layer-update,Error during update of default layer,Une erreur a empêché de mettre à jour le calque par défaut,Error durante la actualización de la capa predeterminada,Door een fout kon de defaultlaag niet worden bijgewerkt,デフォルトレイヤーの更新中にエラーが発生しました
notif-error-default-property-update,Failed to update the default property,Une erreur a empêché la modification de la propriété par défaut,Error al actualizar la propiedad predeterminada,Door een fout kon de eigenschap door uitsluiting niet worden gewijzigd,デフォルトプロパティの更新に失敗しました
notif-error-delete-uploaded-file,Failed to delete the uploaded file (unexpected error),Une erreur a empêché de supprimer le fichier,Error al eliminar el archivo cargado (error inesperado),Een fout verhinderde het verwijderen van het bestand,アップロード済みファイルの削除に失敗しました（予期しないエラー）
notif-error-delete-used-uploaded-file,This image has instances in active projects ({projects}) under the following names: {names},Cette image est utilisée dans des projets ({projects}) sous les noms suivants : {names},Esta imagen tiene instancias en proyectos activos ({proyectos}) con los siguientes nombres: {names},Deze afbeelding wordt gebruikt in projecten ({projects}) onder de volgende namen: {names},この画像は、以下の名前でアクティブなプロジェクト（{projects}）にインスタンスが存在します: {names}
notif-error-fetch-annotation-comments,Failed to retrieve the comments of this annotation,Erreur lors de la récupération des commentaires,Error al recuperar los comentarios de esta anotación,Fout bij het ophalen van opmerkingen,このアノテーションのコメントの取得に失敗しました
notif-error-fetch-annotations-viewer,An error occurred while fetching annotations,Erreur lors du chargement des annotations,Se produjo un error al recuperar anotaciones,Fout bij het laden van annotaties,アノテーションの取得中にエラーが発生しました
notif-error-fetch-next-image,Failed to load next image,Une erreur a empêché de charger l'image suivante,Error al cargar la siguiente imagen,Een fout verhinderde het laden van de volgende afbeelding,次の画像の読み込みに失敗しました
notif-error-fetch-previous-image,Failed to load previous image,Une erreur a empêché de charger l'image précédente,Error al cargar la imagen anterior,Een fout verhinderde het laden van de vorige afbeelding,前の画像の読み込みに失敗しました
notif-error-first-image,This is the first image of the project,Il s'agit de la première image du projet,Esta es la primera imagen del proyecto.,Dit is de eerste afbeelding van het project,これはプロジェクトの最初の画像です
notif-error-forgot-password,Failed to send an email allowing to reset the password,Une erreur a empêché de vous envoyer un e-mail,Error al enviar el enlace de restablecimiento de contraseña a la dirección de correo electrónico proporcionada,Door een fout konden we je geen e-mail sturen,パスワードリセット用メールの送信に失敗しました
notif-error-forgot-username,Failed to send an email to the provided email address,Une erreur a empêché de vous envoyer un e-mail,Error de envío a la dirección de correo electrónico proporcionada,Door een fout konden we u geen e-mail sturen,指定されたメールアドレスへのメール送信に失敗しました
notif-error-general-config-update,Error during update of configuration,Une erreur a empêché de mettre à jour la configuration,Error durante la actualización de la configuración,Door een fout kon de configuratie niet worden bijgewerkt,設定の更新中にエラーが発生しました
notif-error-image-calibration,Failed to calibrate image {imageName},Une erreur a empêché de calibrer l'image {imageName},Error al calibrar la imagen {imageName},Een fout verhinderde het kalibreren van de afbeelding {imageName},画像 {imageName} のキャリブレーションに失敗しました
notif-error-image-deletion,Failed to delete image {imageName},Une erreur a empêché la suppression de l'image {imageName},Error al eliminar la imagen {imageName},Een fout verhinderde het verwijderen van de afbeelding {imageName},画像 {imageName} の削除に失敗しました
notif-error-image-group-creation,Failed to create image group,Une erreur a empêché la création du groupe d'images,No se pudo crear el grupo de imágenes,Kan afbeeldingsgroep niet maken,画像グループの作成に失敗しました
notif-error-image-rename,Failed to rename image {imageName},Une erreur a empêché de renommer l'image {imageName},Error al cambiar el nombre de la imagen {imageName},Een fout verhinderde het hernoemen van de afbeelding {imageName},画像 {imageName} の名前変更に失敗しました
notif-error-image-group-deletion,Failed to delete image group {groupName},Une erreur a empêché la suppression du groupe d'images {groupName},Error al eliminar el grupo de imágenes {groupName},Kan afbeeldingsgroep {groupName} niet verwijderen,画像グループ {groupName} の削除に失敗しました
notif-error-invalid-key-prefix,The property key cannot start by {prefix}: this prefix is reserved for internal use,La clé ne peut commencer par {prefix} : ce préfixe est réservé par Cytomine pour une utilisation interne.,La clave de propiedad no puede comenzar por {prefijo}: este prefijo está reservado para uso interno,De sleutel mag niet beginnen met {prefix}: dit voorvoegsel is door Cytomine gereserveerd voor intern gebruik.,プロパティキーは {prefix} で始めることができません: このプレフィックスは内部使用のために予約されています
notif-error-image-group-link-creation,Failed to add image {imageName} to an image group,Une erreur a empêché l'ajout de l'image {imageName} à un groupe d'images,Error al agregar la imagen {imageName} a un grupo de imágenes,Kan afbeelding {imageName} niet toevoegen aan een afbeeldingsgroep,画像 {imageName} の画像グループへの追加に失敗しました
notif-error-keys-not-regenerated,Error during the regeneration of API keys,Une erreur a empêché de regénérer les clés API,Error durante la regeneración de claves API,Een fout verhinderde het opnieuw genereren van API-sleutels,API キーの再生成中にエラーが発生しました
notif-error-image-group-link-deletion,Failed to remove image {imageName} from its image group,Une erreur a empêché le retrait de l'image {imageName} de son groupe d'images,No se pudo eliminar la imagen {imageName} de su grupo de imágenes,Kan afbeelding {imageName} niet verwijderen uit de afbeeldingsgroep,画像 {imageName} の画像グループからの削除に失敗しました
notif-error-last-image,This is the last image of the project,Il s'agit de la dernière image du projet,Esta es la última imagen del proyecto.,Dit is de laatste afbeelding van het project,これはプロジェクトの最後の画像です
notif-error-image-group-rename,Failed to rename image group {imageName},Une erreur a empêché de renommer le groupe d'images {imageName},Error al cambiar el nombre del grupo de imágenes {imageName},Kan de afbeeldingsgroep {imageName} niet hernoemen,画像グループ {imageName} の名前変更に失敗しました
notif-error-loading-annotation-layers,Failed to fetch annotation layers,Erreur lors du chargement de la liste des calques d'annotations,Error al recuperar capas de anotación,Fout bij het laden van de lijst met annotatielagen,アノテーションレイヤーの取得に失敗しました
notif-error-logout,Error during logout,Erreur lors de la déconnexion,Error al cerrar sesión,Fout tijdens uitloggen,ログアウト中にエラーが発生しました
notif-error-magnification-update,Failed to update the magnification image {imageName},Une erreur a empêché de mettre à jour le grossissement de l'image {imageName},Error al actualizar el nivel de aumento de la imagen {imageName},Een fout verhinderde het updaten van de vergroting vande afbeelding {imageName},画像 {imageName} の倍率の更新に失敗しました
notif-error-new-comment,Failed to add a comment to the annotation,Une erreur a empêché la création du commentaire,Error al añadir un comentario a la anotación,Een fout verhinderde het maken van de opmerking,アノテーションへのコメント追加に失敗しました
notif-error-not-enough-representative, Failed to remove the representative role. At least one representative must be in the project, Impossible retirer l'utilisateur des personnes de contact. Il faut au moins une personnes de contact dans un projet,, De user kan niet verwijderen worden uit contactpersonen. In een project is minimaal één contactpersoon vereist,代表者ロールの削除に失敗しました。プロジェクトには少なくとも1名の代表者が必要です
notif-error-ontology-creation,Failed to create the ontology,Une erreur a empêché la création de l'ontologie,Error al crear la ontología,Een fout verhinderde het creëeren van de ontologie,オントロジーの作成に失敗しました
notif-error-ontology-deletion,Failed to delete the ontology,Une erreur a empêché la suppression de l'ontologie,Error al eliminar la ontología,Een fout verhinderde het verwijderen van de ontologie,オントロジーの削除に失敗しました
notif-error-ontology-rename,Failed to rename ontology {name},Une erreur a empêché de renommer l'ontologie {name},Error al cambiar el nombre de ontología {name},Een fout verhinderde het hernoemen van de ontologie {name},オントロジー {name} の名前変更に失敗しました
notif-error-ontology-tree-update,Failed to update the ontology tree organization,Une erreur a empêché de modifir l'arborescence de l'ontologie,Error al actualizar la jerarquía de términos en la ontología,Een fout verhinderde het wijzigen van de ontologieboom,オントロジーツリーの構成の更新に失敗しました
notif-error-password-not-saved,Error during update of password,Une erreur a empêché de sauvegarder le mot de passe,A ocurrido un error durante la actualización de contraseña,Een fout verhinderde het opslaan van het paswoord,パスワードの更新中にエラーが発生しました
notif-error-profile-computation,Error during profile computation,Une erreur a empêché le calcul du profil,Error durante el cálculo del perfil,Fout tijdens profielberekening,プロファイルの計算中にエラーが発生しました
notif-error-project-already-exists,Failed to create the project: This project name is already used,Une erreur a empêché la création du projet: ce nom de projet est déjà utilisé,,Een fout verhinderde het aanmaken van het project: deze projectnaam is al in gebruik,プロジェクトの作成に失敗しました: このプロジェクト名はすでに使用されています
notif-error-profile-deletion,Error during profile deletion,Une erreur a empêché la suppresion du profil,Error durante la eliminación del perfil,Fout tijdens het verwijderen van het profiel,プロファイルの削除中にエラーが発生しました
notif-error-project-creation,Failed to create the project,Une erreur a empêché la création du projet,,Door een fout kon het project niet worden aangemaakt,プロジェクトの作成に失敗しました
notif-error-project-deletion,Failed to delete project {projectName},Une erreur a empêché la suppression du projet {projectName},Error al eliminar el proyecto {projectName},Een fout verhinderde de verwijdering van het project {projectName},プロジェクト {projectName} の削除に失敗しました
notif-error-project-ontology-change-job-terms,Cannot change the ontology of this project: some analyses associated terms to annotations. You must clean these associations prior to the ontology change.,Impossible de changer l'ontologie de ce projet : des analyses ont associé des termes à des annotations.,No se puede cambiar la ontología de este proyecto: algunos análisis asocian términos a anotaciones. Debe limpiar estas asociaciones antes del cambio de ontología.,Onmogelijk om de ontologie van dit project te veranderen: analyses hebben geassocieerde termen met annotaties.,このプロジェクトのオントロジーを変更できません: 一部の解析でアノテーションに用語が関連付けられています。オントロジーを変更する前に、これらの関連付けを削除してください。
notif-error-project-ontology-change-reviewed-terms,Cannot change the ontology of this project: some terms are associated to reviewed annotations. You must remove these associations prior to the ontology change.,Impossible de changer l'ontologie de ce projet : des termes sont associés à des annotations validées.,No se puede cambiar la ontología de este proyecto: algunos términos están asociados a anotaciones revisadas. Debe eliminar estas asociaciones antes del cambio de ontología.,De ontologie van dit project kan niet worden gewijzigd: termen zijn gekoppeld aan gevalideerde annotaties.,このプロジェクトのオントロジーを変更できません: 一部の用語がレビュー済みアノテーションに関連付けられています。オントロジーを変更する前に、これらの関連付けを削除してください。
notif-error-project-ontology-change,Failed to change the ontology of project {projectName},Une erreur a empêché de modifier l'ontologie du projet {projectName},Error al cambiar la ontología del proyecto {projectName},Een fout verhinderde het wijzigen van de ontologie van het project {projectName},プロジェクト {projectName} のオントロジー変更に失敗しました
notif-error-project-rename,Failed to rename project {projectName},Une erreur a empêché de renommer le projet {projectName},Error al cambiar el nombre del proyecto {projectName},Een fout verhinderde het hernoemen van het project {projectName},プロジェクト {projectName} の名前変更に失敗しました
notif-error-redo,Failed to redo last action,Une erreur a empêché de rétablir la dernière action,Error al rehacer la última acción,Een fout verhinderde het opnieuw uitvoeren van de laatste actie,直前の操作のやり直しに失敗しました
notif-error-register-username-exists,This username is already used,Ce nom d'utilisateur est déjà utilisé,El nombre de usuario ya esta siendo usado,Deze usersnaam is al in gebruik,このユーザー名はすでに使用されています。
notif-error-register,Error during registration,Une erreur s'est produite lors de l'inscription,Error durante el registro,Er is een fout opgetreden tijdens het registreren,登録中にエラーが発生しました。
notif-error-remove-project-members,Failed to remove the selected members from project,Une erreur a empêché de retirer les membres sélectionnés du projet,Error al eliminar los miembros seleccionados del proyecto,Door een fout konden geselecteerde leden niet uit het project worden verwijderd,選択したメンバーをプロジェクトから削除できませんでした。
notif-error-remove-prop,Failed to remove the property,Une erreur a empêché de supprimer la propriété,Error al eliminar la propiedad,Door een fout kon de eigenschap niet worden verwijderd,プロパティを削除できませんでした。
notif-error-remove-term,Failed to remove the term,Une erreur a empêché de retirer le terme,Error al eliminar el término,Een fout verhinderde het verwijderen van de term,用語を削除できませんでした。
notif-error-remove-track,Failed to remove the track,Impossible de retirer la trace,,Kan track mag niet verwijderen worden,トラックを削除できませんでした。
notif-error-review-accept-all,Failed to accept all annotations,Une erreur a empêché de valider toutes les annotations,Error al aceptar todas las anotaciones,Door een fout konden alle annotaties niet worden gevalideerd,すべてのアノテーションを承認できませんでした。
notif-error-review-reject-all,Failed to reject all annotations,Une erreur a empêché de rejeter toutes les annotations,Error al rechazar todas las anotaciones,Door een fout konden alle annotaties niet worden geweigerd,すべてのアノテーションを却下できませんでした。
notif-error-save-image-consultation,Failed to save image consultation,Une erreur empêche de sauvegarder la consultation de l'image,Error al guardar la consulta de imagen,Een fout verhindert het opslaan van de afbeeldingconsultatie,画像閲覧履歴を保存できませんでした。
notif-error-save-prop,Failed to save the property,Une erreur a empêché de créer la propriété,Error al guardar la propiedad,Door een fout kon de eigenschap niet worden gemaakt,プロパティを保存できませんでした。
notif-error-save-user-position,Failed to save your position in the image,Une erreur empêche de sauvegarder votre position dans l'image,Error al guardar tu posición en la imagen,Een fout verhindert het opslaan van uw positie in de afbeelding,画像内の位置を保存できませんでした。
notif-error-start-review,Failed to start reviewing the image,Une erreur a empêché de commencer la validation de l'image,Error al comenzar a revisar la imagen,Door een fout kon de afbeeldingsreview niet worden gestart,画像のレビューを開始できませんでした。
notif-error-tag-creation,Failed to create the tag,Une erreur a empêché la création du tag,Error al crear la etiqueta,Door een fout kon de tag niet worden gemaakt,タグを作成できませんでした。
notif-error-tag-delete,Failed to delete tag {tagName},Une erreur a empêché de supprimer le tag {tagName},Error al eliminar la etiqueta {tagName},Een fout verhinderde het verwijderen van de tag {tagName},タグ {tagName} を削除できませんでした。
notif-error-tag-update,Failed to update tag,Une erreur a empêché de modifier le tag,Error al actualizar la etiqueta,Door een fout kon de tag niet worden gewijzigd,タグを更新できませんでした。
notif-error-target-annotation,Failed to fetch the requested annotation,Impossible d'afficher l'annotation demandée,Error al recuperar la anotación solicitada,Het is niet mogelijk om de annotatie weer te geven,指定されたアノテーションを取得できませんでした。
notif-error-term-creation,Failed to create the term,Une erreur a empêché la création du terme,Error al crear el término,Door een fout kon de term niet gecreëerd worden,用語を作成できませんでした。
notif-error-term-deletion,Failed to delete the term. Ensure that no annotation is associated to this term.,Le terme n'a pas pu être supprimé. Assurez-vous qu'aucune annotation n'est associée à ce terme.,No se pudo eliminar el término. Asegúrese de que ninguna anotación esté asociada a este término.,De term kan niet worden verwijderd. Zorg ervoor dat er geen annotatie aan deze term is gekoppeld.,用語を削除できませんでした。この用語に関連付けられたアノテーションがないことを確認してください。
notif-error-term-update,Failed to update the term,Une erreur a empêche la modification du terme,Error al actualizar el término,Een fout a verhindert de wijziging van de term,用語を更新できませんでした。
notif-error-track-creation,Failed to create the track,Erreur durant la création de la trace,,Fout tijdens het maken van een track,トラックを作成できませんでした。
notif-error-track-deletion,Failed to delete the track.,Erreur lors de la suppression de la trace,,Fout bij verwijderen van de track,トラックを削除できませんでした。
notif-error-track-update,Failed to update the track,Erreur durant la modification de la trace,,Fout bij het wijzigen van de track,トラックを更新できませんでした。
notif-error-tracked-user-position,Failed to retrieve the position of the followed user,Erreur lors de la récupération de la position de l'utilisateur suivi,Error al recuperar la posición del usuario seguido,Fout bij het ophalen van de positie van de gevolgde user,フォロー中のユーザーの位置を取得できませんでした。
notif-error-undo,Failed to undo last action,Une erreur a empêché d'annuler la dernière action,No se pudo deshacer la última acción,Een fout verhinderde het ongedaan maken van de laatste actie,最後の操作を元に戻せませんでした。
notif-error-unvalidate-review,Failed to unvalidate the image review,Une erreur a empêché d'annuler la validation de l'image,No se pudo invalidar la revisión de la imagen,Een fout verhinderde het ongedaan maken van de afbeeldingsreview,画像レビューの承認解除ができませんでした。
notif-error-update-description,Failed to update description,Une erreur a empêché de sauvegarder la description,Error al actualizar la descripción,Een fout verhinderde het opslaan van de beschrijving,説明を更新できませんでした。
notif-error-user-creation,Failed to create the user,Une erreur a empêché la création de l'utilisateur,Error al crear el usuario,Een fout verhinderde het aanmaken van de user,ユーザーを作成できませんでした。
notif-error-user-details-not-saved,Error during update of user details,Une erreur a empêché la mise à jour du profil,A ocurrido un error durante la actualización de los detalles del usuario,Door een fout kon het profiel niet worden bijgewerkt,ユーザー詳細の更新中にエラーが発生しました。
notif-error-user-lock,Failed to lock the user,Une erreur a empêché de verrouiler l'utilisateur,Error al bloquear el usuario,Een fout verhinderde het uitsluiten van de user,ユーザーをロックできませんでした。
notif-error-user-unlock,Failed to unlock the user,Une erreur a empêché de déverrouiler l'utilisateur,Error al desbloquear el usuario,Door een fout kon de user niet worden ontgrendeld,ユーザーのロックを解除できませんでした。
notif-error-user-update,Failed to update the user,Une erreur a empêché la modification de l'utilisateur,Error al actualizar al usuario,Een fout verhinderde de wijziging van de user,ユーザーを更新できませんでした。
notif-error-validate-review,Failed to validate the image,Une erreur a empêché la validation de l'image,Error al validar la imagen,Een fout verhinderde de review van de afbeelding,画像を検証できませんでした。
notif-success-add-image,Image {imageName} was successfully added to project {projectName},L'image {imageName} a été ajoutée au projet {projectName},La imagen {imageName} se agregó correctamente al proyecto {projectName},De afbeelding {imageName} is toegevoegd aan het project {projectName},画像 {imageName} がプロジェクト {projectName} に正常に追加されました。
notif-success-add-project-members,The selected users were correctly added as project members,Les utilisateurs sélectionnés ont été ajoutés au projet,Los usuarios seleccionados se agregaron correctamente al proyecto,De geselecteerde gebruikers zijn toegevoegd aan het project,選択したユーザーがプロジェクトメンバーとして正常に追加されました。
notif-success-add-tag-domain-association,The selected tags were correctly associated,Les tags sélectionnés ont été associés,Las etiquetas seleccionadas se asociaron correctamente,De geselecteerde tags zijn gekoppeld,選択したタグが正常に関連付けられました。
notif-success-annot-URL-copied,Annotation URL copied to clipboard,L'URL de l'annotation a été copiée dans le presse-papier,URL de anotación copiada al portapapeles,Annotatie-URL is naar het klembord gekopieerd,アノテーションの URL をクリップボードにコピーしました。
notif-success-annotation-copy,Annotation has been copied,L'annotation a été copiée,,De annotatie is gekopieerd,アノテーションがコピーされました。
notif-success-annotation-repeat,Annotation has been repeated,L'annotation a été répétée,,De annotatie is herhaald,アノテーションが繰り返されました。
notif-success-attached-file-creation,File correctly attached,Le fichier joint a bien été uploadé,Archivo adjuntado correctamente,Het bijgevoegde file is succesvol geüpload.,ファイルが正常に添付されました。
notif-success-attached-file-deletion,Attached file {filename} correctly deleted,Le fichier joint {filename} a bien été supprimé,El archivo adjunto {filename} se ha eliminado correctamente,Het bijgevoegde file{filename} is succesvol verwijderd,添付ファイル {filename} が正常に削除されました。
notif-success-annotation-link-creation,Annotation successfully linked,L'annotation a été liée avec succès,Anotación vinculada con éxito,Annotatie succesvol gekoppeld,アノテーションが正常にリンクされました。
notif-success-default-property-update,Default property successfully updated,La propriété par défaut a bien été mise à jour,Propiedad predeterminada actualizada correctamente,De eigenschap door uitsluiting is succesvol bijgewerkt,デフォルトプロパティが正常に更新されました。
notif-success-annotation-link-deletion,Annotation successfully unlinked,L'annotation a été dissociée avec succès,Anotación desvinculada con éxito,Annotatie ontkoppeld,アノテーションのリンクが正常に解除されました。
notif-success-forgot-password,A mail containing a connection link was sent to your email address,Un e-mail permettant de réinitialiser votre mot de passe a été envoyé à votre adresse e-mail,Se le ha enviado un enlace de conexión a su dirección de correo electrónico.,Er is een e-mail naar uw e-mailadres verzonden om uw wachtwoord opnieuw in te stellen,接続リンクを含むメールがメールアドレスに送信されました。
notif-success-annotation-link-paste,Annotation successfully pasted and linked,L'annotation a été collée en créant des liens avec succès,Anotación pegada y vinculada correctamente,Annotatie succesvol geplakt en gekoppeld,アノテーションが正常に貼り付けられ、リンクされました。
notif-success-forgot-username,A mail containing your username was sent to your email address,Un e-mail contenant votre nom d'utilisateur a été envoyé à votre adresse e-mail,Se le ha enviado su nombre de usuario a su dirección de correo electrónico.,Er is een e-mail met uw usersnaam naar uw e-mailadres verzonden,ユーザー名を含むメールがメールアドレスに送信されました。
notif-success-image-calibration,Image {imageName} was correctly calibrated,La résolution de l'image {imageName} a été mise à jour,La imagen {imageName} se calibró correctamente,Afbeeldingsresolutie {imageName} is updated,画像 {imageName} が正常にキャリブレーションされました。
notif-success-image-deletion,Image {imageName} was successfully deleted,L'image {imageName} a été supprimée,La imagen {imageName} se eliminó correctamente,Afbeelding {imageName} is verwijderd,画像 {imageName} が正常に削除されました。
notif-success-image-group-creation,Image group successfully created,Le groupe d'images a été créé avec succès,Grupo de imágenes creado con éxito,Afbeeldingsgroep is gemaakt,画像グループが正常に作成されました。
notif-success-image-rename,Image {imageName} was successfully renamed,L'image {imageName} a été renommée avec succès,La imagen {imageName} se renombró correctamente,De naam van de afbeelding {imageName} is succesvol gewijzigd,画像 {imageName} が正常に名前変更されました。
notif-success-image-group-deletion,Image group {groupName} was successfully deleted,Le groupe d'images {groupName} a été supprimé,El grupo de imágenes {groupName} se eliminó correctamente,Afbeeldingsgroep {groupName} is succesvol verwijderd,画像グループ {groupName} が正常に削除されました。
notif-success-key-copied,Key copied to clipboard,Clé copiée dans le presse-papier,Clave copiada al portapapeles,Sleutel gekopieerd naar klembord,キーをクリップボードにコピーしました。
notif-success-image-group-link-creation,Image {imageName} was successfully added to an image group,L'image {imageName} a été ajoutée à un groupe d'images,La imagen {imageName} se agregó correctamente a un grupo de imágenes,Afbeelding {imageName} is toegevoegd aan een afbeeldingsgroep,画像 {imageName} が正常に画像グループに追加されました。
notif-success-keys-regenerated,API keys correctly updated,Clés API mises à jour avec succès,Claves API actualizadas correctamente,API-sleutels zijn bijgewerkt,API キーが正常に更新されました。
notif-success-image-group-link-deletion,Image {imageName} was successfully removed from its image group,L'image {imageName} a été retirée de son groupe d'images,La imagen {imageName} se eliminó correctamente de su grupo de imágenes,Afbeelding {imageName} is verwijderd uit de afbeeldingsgroep,画像 {imageName} が正常に画像グループから削除されました。
notif-success-image-group-rename,Image group {imageName} was successfully renamed,Le groupe d'images {imageName} a été renommé avec succès,El grupo de imágenes {imageName} se renombró correctamente,Afbeeldingsgroep {imageName} is hernoemd,画像グループ {imageName} が正常に名前変更されました。
notif-success-magnification-update,Magnification of image {imageName} was correctly updated,Le grossissement de l'image {imageName} a bien été mis à jour,El nivel de aumento de la imagen {imageName} se actualizó correctamente,Vergroting van de afbeelding {imageName} succesvol bijgewerkt,画像 {imageName} の倍率が正常に更新されました。
notif-success-new-comment,Your comment was successfully send by email,Votre commentaire a bien été envoyé par e-mail,Su comentario fue enviado con éxito por correo electrónico.,Uw commentaar is per e-mail verzonden,コメントがメールで正常に送信されました。
notif-success-ontology-creation,The ontology was successfully created,L'ontologie a bien été créée,La ontología se creó con éxito.,De ontologie is gecreëerd,オントロジーが正常に作成されました。
notif-success-ontology-deletion,Ontology {name} was successfully deleted,L'ontologie {name} a bien été supprimée,La ontología {name} se eliminó correctamente,Ontologie {name} succesvol verwijderd,オントロジー {name} が正常に削除されました。
notif-success-ontology-rename,Ontology {name} was successfully renamed,L'ontologie {name} a bien été renommée,Ontology {name} fue renombrado exitosamente,De naam van de ontologie {naam} is succesvol gewijzigd,オントロジー {name} が正常に名前変更されました。
notif-success-password-saved,Password correctly updated,Mot de passe mis à jour avec succès,La contraseña se ha actualizado correctamente,paswoord succesvol bijgewerkt,パスワードが正常に更新されました。
notif-success-project-creation,The project was successfully created,Le projet a bien été créé,El proyecto fue creado exitosamente,Het project is succesvol aangemaakt,プロジェクトが正常に作成されました。
notif-success-project-deletion,Project {projectName} was successfully deleted,Le projet {projectName} a été supprimé,El proyecto {projectName} se ha eliminado correctamente,Het project {projectName} is verwijderd,プロジェクト {projectName} が正常に削除されました。
notif-success-project-ontology-change,Ontology of project {projectName} was successfully updated,L'ontologie du projet {projectName} a bien été modifiée,La ontología del proyecto {projectName} se actualizó correctamente,De ontologie van het project {projectName} is succesvol aangepast,プロジェクト {projectName} のオントロジーが正常に更新されました。
notif-success-project-rename,Project {projectName} was successfully renamed,Le projet {projectName} a bien été renommé,El proyecto {projectName} se renombró correctamente,Het project {projectName} is succesvol hernoemd,プロジェクト {projectName} が正常に名前変更されました。
notif-success-remove-project-members,The selected members were correctly removed from project,Les membres sélectionnés ont bien été retirés du projet,Los miembros seleccionados fueron eliminados correctamente del proyecto,De geselecteerde leden zijn met succes uit het project verwijderd,選択したメンバーがプロジェクトから正常に削除されました。
notif-success-tag-creation,The tag was successfully created,Le tag a bien été créé,La etiqueta se creó correctamente.,De tag is succesvol aangemaakt,タグが正常に作成されました。
notif-success-tag-delete,Tag {tagName} was successfully deleted,Le tag {tagName} a bien été supprimé,La etiqueta {tagName} se eliminó correctamente,De tag {tagName} is succesvol verwijderd,タグ {tagName} が正常に削除されました。
notif-success-tag-update,Tag was successfully updated,Le tag a bien été modifié,La etiqueta se actualizó correctamente,De tag is succesvol gewijzigd,タグが正常に更新されました。
notif-success-term-creation,The term was successfully created,Le terme a bien été créé,El término se creó con éxito.,De term is gecreëerd,用語が正常に作成されました。
notif-success-term-update,The term was successfully updated,Le terme a bien été mis à jour,El término se actualizó correctamente.,De term is succesvol geüpdatet.,用語が正常に更新されました。
notif-success-track-creation,The track was successfully created,La trace a bien été créée,,De track is gemaakt,トラックが正常に作成されました。
notif-success-track-update,The track was successfully updated,La trace a bien été modifiée,,De track is aangepast,トラックが正常に更新されました。
notif-success-user-creation,User successfully created,L'utilisateur a bien été créé,Usuario creado con éxito,De user is succesvol aangemaakt,ユーザーが正常に作成されました。
notif-success-user-details-saved,User details correctly updated,Profil mis à jour avec succès,Los detalles del usuario se han actualizado correctamente,Profiel succesvol updated,ユーザー詳細が正常に更新されました。
notif-success-user-update,User successfully updated,L'utilisateur a bien été modifié,Usuario actualizado con éxito,User succesvol gewijzigd,ユーザーが正常に更新されました。
notif-unexpected-error,Unexpected error,Une erreur inattendue s'est produite,Se ha producido un error inesperado,Er is een onverwachte fout opgetreden,予期しないエラー
notif-warn-ontology-tree-order-not-persisted,The order of children in the ontology tree is not persisted in database,L'ordre des enfants dans l'arborescence n'est pas sauvegardée dans la base de données,La jerarquía de términos dentro de la ontología no se mantiene en la base de datos.,De volgorde van de kinderen in de stamboom wordt niet opgeslagen in de database,オントロジーツリーの子要素の順序はデータベースに保存されません。
notify-error-app-deletion,Failed to delete the app,Échec de la suppression de l'application,Error al eliminar la aplicación,Kan de app niet verwijderen,アプリを削除できませんでした。
notify-error-app-deletion-forbidden,Only admin can delete apps,Seul l'administrateur peut supprimer des applications,Solo el administrador puede eliminar aplicaciones,Alleen admin kan apps verwijderen,アプリを削除できるのは管理者のみです。
notify-error-app-installation,Failed to install the app,Échec de l'installation de l'application,Error al instalar la aplicación,Installatie van de app mislukt,アプリをインストールできませんでした。
